Symbol    Frequency   Huffman Codes
e         10.46       010
a         9.28        000
t         8.52        1110
n         8.31        1101
o         7.83        1100
h         5.68        1000
s         5.40        0111
i         5.33        0110
r         5.12        0011
d         3.81        10111
w         3.39        10101
u         3.25        10100
l         3.12        10011
g         2.42        00100
m         2.29        111110
c         2.22        111101
f         2.01        111100
y         1.87        101100
p         1.39        100100
k         1.32        001011
b         1.18        1111111
I         1.18        1111110
v         0.76        1001010
A         0.69        0010101
W         0.48        10110110
S         0.42        10010111
T         0.35        10010110
x         0.21        101101001
L         0.21        101101010
O         0.21        101101011
B         0.21        101101000
D         0.14        1011011110
M         0.14        1011011111
z         0.14        001010010
F         0.14        001010001
P         0.14        1011011101
j         0.07        0010100001
N         0.07        10110111001
q         0.07        10110111000
R         0.07        0010100110
C         0.07        0010100111
H         0.07        0010100000

Total bits: 6433
